TYPE,TID,TGID,SYSCALL_NR,SC_SEQ_NUM,SC_ENTER_TIME,SC_EXIT_TIME,DURATION_US
SC_END,1251,1250,0,0,37675543105716,37675545400757,2295
SC_END,37976,37976,0,1873,37675549192052,37675549196679,4
SC_END,37104,37104,0,0,37675543105716,37675550051008,6945
SC_END,1967,1907,0,0,37675543105716,37675551815334,8709
SC_END,1964,1907,0,0,37675543105716,37675557883073,14777
SC_END,1963,1907,0,0,37675543105716,37675557883565,14777
SC_END,1992,1907,0,0,37675543105716,37675557883563,14777
SC_END,1966,1907,0,0,37675543105716,37675557884335,14778
SC_END,1965,1907,0,0,37675543105716,37675557884389,14778
SC_END,1488,1372,0,0,37675543105716,37675578524911,35419
SC_END,1909,1844,0,0,37675543105716,37675590017731,46912
SC_END,1880,1844,0,0,37675543105716,37675590338067,47232
SC_END,1898,1844,0,0,37675543105716,37675591260660,48154
SC_END,6328,6325,0,0,37675543105716,37675740236320,197130
SC_END,1952,1907,0,0,37675543105716,37675798693545,255587
SC_END,1955,1907,0,0,37675543105716,37675798700545,255594
SC_END,1951,1907,0,0,37675543105716,37675798759323,255653
SC_END,1956,1907,0,0,37675543105716,37675798759419,255653
SC_END,1948,1907,0,0,37675543105716,37675798828736,255723
SC_END,1949,1907,0,0,37675543105716,37675798828938,255723
SC_END,1953,1907,0,0,37675543105716,37675798840255,255734
SC_END,1950,1907,0,0,37675543105716,37675798840730,255735
SC_END,1954,1907,0,0,37675543105716,37675798842462,255736
SC_END,450,450,0,0,37675543105716,37675818834984,275729
SC_END,1932,1932,0,0,37675543105716,37675820175995,277070
SC_END,1973,1907,0,0,37675543105716,37675858388919,315283
SC_END,1957,1907,0,0,37675543105716,37675955792054,412686
SC_END,1982,1907,0,0,37675543105716,37675985272329,442166
SC_END,2002,1907,0,0,37675543105716,37675995828476,452722
SC_END,6326,6325,0,0,37675543105716,37676004604560,461498
SC_END,1962,1907,0,0,37675543105716,37676118516282,575410
SC_END,1974,1907,0,0,37675543105716,37676243530197,700424
SC_END,502,491,0,0,37675543105716,37676429807154,886701
SC_END,491,491,0,0,37675543105716,37676429939750,886834
SC_END,2394,2394,0,0,37675543105716,37676542395224,999289
SC_END,1967,1907,202,194,37676545682179,37676555770175,10087
SC_END,37976,37976,0,3725,37676558099779,37676558104560,4
SC_END,1965,1907,202,20,37676460742949,37676560902788,100159
SC_END,1963,1907,202,20,37676460738617,37676560902914,100164
SC_END,1966,1907,202,20,37676460742819,37676560903581,100160
SC_END,1964,1907,202,20,37676460742784,37676560903735,100160
SC_END,1992,1907,202,20,37676460753902,37676560903853,100149
SC_END,37104,37104,271,405,37676544653293,37676567171029,22517
SC_END,1909,1844,281,51,37676507999481,37676622470012,114470
SC_END,1880,1844,202,20,37676518532629,37676622483719,103951
SC_END,1898,1844,202,12,37676508100358,37676622652861,114552
SC_END,1955,1907,333,2,37676298974813,37676799198963,500224
SC_END,1952,1907,333,2,37676298974825,37676799198949,500224
SC_END,1956,1907,333,2,37676299068275,37676799261678,500193
SC_END,1951,1907,333,2,37676299068335,37676799261701,500193
SC_END,1953,1907,333,2,37676299085749,37676799278993,500193
SC_END,1950,1907,333,2,37676299092978,37676799279002,500186
SC_END,1948,1907,333,2,37676299073293,37676799283384,500210
SC_END,1949,1907,333,2,37676299073516,37676799286240,500212
SC_END,1954,1907,333,2,37676299092969,37676799342896,500249
SC_END,1973,1907,202,2,37675858441100,37676858830573,1000389
SC_END,1957,1907,202,2,37675955836603,37676956226192,1000389
SC_END,1982,1907,230,3,37675985401534,37676985611702,1000210
SC_END,2002,1907,232,1,37675995873400,37676997054596,1001181
SC_END,1962,1907,202,2,37676118569311,37677118994810,1000425
SC_END,1984,1907,0,0,37675543105716,37677127918799,1584813
SC_END,1288,1288,0,0,37675543105716,37677201082894,1657977
SC_END,1,1,0,0,37675543105716,37677201442694,1658336
SC_END,1974,1907,202,2,37676243585529,37677243987349,1000401
SC_END,502,491,230,4,37676429892099,37677430259598,1000367
SC_END,491,491,202,2,37676429968077,37677430392123,1000424
SC_END,2394,2394,281,21,37676543214236,37677544581683,1001367
SC_END,37976,37976,0,5608,37677568083340,37677568088309,4
SC_END,1967,1907,202,388,37677558177087,37677568290306,10113
SC_END,2084,2084,0,0,37675543105716,37677633973107,2090867
SC_END,1909,1844,281,96,37677538910872,37677653370434,114459
SC_END,1880,1844,202,42,37677549266111,37677653395185,104129
SC_END,1898,1844,202,23,37677539048494,37677653553617,114505
SC_END,1963,1907,202,42,37677564466851,37677664859033,100392
SC_END,1992,1907,202,42,37677564519361,37677664859819,100340
SC_END,1965,1907,202,42,37677564512940,37677664860701,100347
SC_END,1964,1907,202,42,37677564515124,37677664862247,100347
SC_END,1966,1907,202,42,37677564513136,37677664864134,100350
SC_END,6328,6325,7,1,37675740270532,37677742626628,2002356
SC_END,1952,1907,333,4,37677299364196,37677799563818,500199
SC_END,1955,1907,333,4,37677299364208,37677799563830,500199
SC_END,1954,1907,333,4,37677299601055,37677799688519,500087
SC_END,1951,1907,333,4,37677299505934,37677799697235,500191
SC_END,1956,1907,333,4,37677299505952,37677799697223,500191
SC_END,1950,1907,333,4,37677299540143,37677799737611,500197
SC_END,1953,1907,333,4,37677299540152,37677799737600,500197
SC_END,1949,1907,333,4,37677299540384,37677799738947,500198
SC_END,1948,1907,333,4,37677299540371,37677799739715,500199
SC_END,1973,1907,202,4,37676858881788,37677859300722,1000418
SC_END,1957,1907,202,4,37676956290998,37677956659824,1000368
SC_END,1982,1907,230,6,37676985740107,37677986179093,1000438
SC_END,2002,1907,232,2,37676997104112,37677998125723,1001021
SC_END,1962,1907,202,4,37677119103387,37678119236987,1000133
SC_END,1974,1907,202,4,37677244111851,37678244445389,1000333
SC_END,1908,1844,0,0,37675543105716,37678289132949,2746027
SC_END,502,491,230,8,37677430345740,37678430697016,1000351
SC_END,491,491,202,4,37677430420242,37678430830430,1000410
SC_END,2394,2394,281,24,37677544655978,37678545246564,1000590
SC_END,37976,37976,0,7487,37678578226038,37678578231178,5
SC_END,1880,1844,35,61,37678571944390,37678582114798,10170
SC_END,1967,1907,202,582,37678572097571,37678582158298,10060
SC_END,1963,1907,202,62,37678568734402,37678669142050,100407
SC_END,1965,1907,202,62,37678568818624,37678669142744,100324
SC_END,1992,1907,202,62,37678568832728,37678669144286,100311
SC_END,1964,1907,202,62,37678568818177,37678669145155,100326
SC_END,1966,1907,202,62,37678568818643,37678669146268,100327
SC_END,1909,1844,281,144,37678572971136,37678687426267,114455
SC_END,1908,1844,202,5,37678573090463,37678687605523,114515
SC_END,1952,1907,333,6,37678299730341,37678800169609,500439
SC_END,1955,1907,333,6,37678299727478,37678800169846,500442
SC_END,1956,1907,333,6,37678299943733,37678800172096,500228
SC_END,1951,1907,333,6,37678299943742,37678800172188,500228
SC_END,1948,1907,333,6,37678299990567,37678800200805,500210
SC_END,1954,1907,333,6,37678299805828,37678800201556,500395
SC_END,1953,1907,333,6,37678299990469,37678800204028,500213
SC_END,1950,1907,333,6,37678299990416,37678800209763,500219
SC_END,1949,1907,333,6,37678299990615,37678800262690,500272
SC_END,1973,1907,202,6,37677859350690,37678859767680,1000416
SC_END,1957,1907,202,6,37677956724825,37678957126767,1000401
SC_END,1982,1907,230,9,37677986311235,37678986737549,1000426
SC_END,2002,1907,232,3,37677998161715,37678999547600,1001385
SC_END,1410,1410,0,0,37675543105716,37679076299368,3533193
SC_END,1962,1907,202,6,37678119290410,37679119694950,1000404
SC_END,1974,1907,202,6,37678244501600,37679244897662,1000396
SC_END,502,491,230,12,37678430780997,37679431122088,1000341
SC_END,491,491,202,6,37678430857601,37679431254502,1000396
SC_END,2394,2394,281,45,37678546079701,37679547244504,1001164
SC_END,1488,1372,7,10,37675578897077,37679582949687,4004052
SC_END,1967,1907,202,774,37679575204470,37679585298488,10094
SC_END,37976,37976,0,9366,37679586287098,37679586291839,4
SC_END,1909,1844,281,186,37679491357845,37679605780340,114422
SC_END,1880,1844,202,80,37679501768893,37679605780317,104011
SC_END,1908,1844,202,15,37679491454231,37679605851609,114397
SC_END,1963,1907,202,82,37679573311858,37679673726832,100414
SC_END,1966,1907,202,82,37679573315133,37679673727561,100412
SC_END,1992,1907,202,82,37679573326293,37679673729055,100402
SC_END,1964,1907,202,82,37679573314083,37679673729332,100415
SC_END,1965,1907,202,82,37679573314623,37679673730630,100416
SC_END,1983,1907,0,0,37675543105716,37679718416042,4175310
SC_END,6328,6325,7,2,37677742660831,37679745072029,2002411
SC_END,1951,1907,333,8,37679300423757,37679800813867,500390
SC_END,1950,1907,333,8,37679300459256,37679800816212,500356
SC_END,1956,1907,333,8,37679300423682,37679800817325,500393
SC_END,1955,1907,333,8,37679300352243,37679800819449,500467
SC_END,1952,1907,333,8,37679300352231,37679800819465,500467
SC_END,1948,1907,333,8,37679300443474,37679800820558,500377
SC_END,1953,1907,333,8,37679300459266,37679800822156,500362
SC_END,1954,1907,333,8,37679300443781,37679800823558,500379
SC_END,1949,1907,333,8,37679300458698,37679800885576,500426
SC_END,1973,1907,202,8,37678859818181,37679860219039,1000400
SC_END,1904,1904,0,0,37675543105716,37679951224164,4408118
SC_END,1957,1907,202,8,37678957191484,37679957590865,1000399
SC_END,1982,1907,230,12,37678986864814,37679987112030,1000247
SC_END,2002,1907,232,4,37678999592034,37680000970557,1001378
SC_END,6326,6325,7,5,37676004723830,37680005159564,4000435
SC_END,4922,4922,0,0,37675543105716,37680065383043,4522277
SC_END,1962,1907,202,8,37679119747103,37680119955552,1000208
SC_END,1,1,232,9,37677201822091,37680240945048,3039122
SC_END,1371,1371,0,0,37675543105716,37680240962966,4697857
SC_END,1250,1250,0,0,37675543105716,37680241920203,4698814
SC_END,1974,1907,202,8,37679244953434,37680245101427,1000147
SC_END,450,450,232,5,37675819098346,37680294256937,4475158
SC_END,1677,1560,0,0,37675543105716,37680295499765,4752394
SC_END,1679,1560,0,0,37675543105716,37680295683486,4752577
SC_END,1461,1461,0,0,37675543105716,37680296942211,4753836
SC_END,1352,1352,0,0,37675543105716,37680307119843,4764014
SC_END,1593,1361,0,0,37675543105716,37680307489993,4764384
SC_END,1428,1372,0,0,37675543105716,37680307502309,4764396
SC_END,1370,1370,0,0,37675543105716,37680307588151,4764482
SC_END,1372,1372,0,0,37675543105716,37680307608815,4764503
SC_END,1361,1361,0,0,37675543105716,37680307638478,4764532
SC_END,1401,1401,0,0,37675543105716,37680310846505,4767740
SC_END,1707,1630,0,0,37675543105716,37680312072702,4768966
SC_END,1710,1623,0,0,37675543105716,37680312077621,4768971
SC_END,1427,1373,0,0,37675543105716,37680312084054,4768978
SC_END,6331,6325,0,0,37675543105716,37680312119336,4769013
SC_END,1623,1623,0,0,37675543105716,37680312183261,4769077
SC_END,1630,1630,0,0,37675543105716,37680312214574,4769108
SC_END,1373,1373,0,0,37675543105716,37680312216387,4769110
SC_END,6336,6332,0,0,37675543105716,37680312225011,4769119
SC_END,6325,6325,0,0,37675543105716,37680312226237,4769120
SC_END,1527,1401,0,0,37675543105716,37680312234634,4769128
SC_END,6332,6332,0,0,37675543105716,37680312381704,4769275
SC_END,502,491,230,16,37679431204048,37680431254416,1000050
SC_END,491,491,202,8,37679431281474,37680431274417,999992
SC_END,2394,2394,281,48,37679547318711,37680548370449,1001051
SC_END,37976,37976,0,11245,37680591841559,37680591846422,4
SC_END,1967,1907,202,970,37680585226399,37680595320290,10093
SC_END,1909,1844,281,246,37680527901166,37680642068601,114167
SC_END,1880,1844,202,98,37680537059309,37680642266126,105206
SC_END,1908,1844,202,27,37680527940404,37680643195369,115254
SC_END,1966,1907,202,102,37680575616270,37680675840636,100224
SC_END,1965,1907,202,102,37680575708816,37680675840784,100131
SC_END,1964,1907,202,102,37680575729440,37680675865760,100136
SC_END,1992,1907,202,102,37680575734187,37680675865764,100131
SC_END,1963,1907,202,102,37680575773836,37680675895257,100121
SC_END,1953,1907,333,10,37680300965317,37680801089366,500124
SC_END,1950,1907,333,10,37680300965308,37680801089550,500124
SC_END,1956,1907,333,10,37680300966010,37680801138599,500172
SC_END,1951,1907,333,10,37680300966018,37680801138607,500172
SC_END,1954,1907,333,10,37680300979473,37680801167835,500188
SC_END,1952,1907,333,10,37680301033860,37680801170947,500137
SC_END,1955,1907,333,10,37680301070388,37680801171136,500100
SC_END,1949,1907,333,10,37680301088004,37680801204797,500116
SC_END,1948,1907,333,10,37680301374042,37680801504768,500130
SC_END,1932,1932,232,1,37675820206019,37680825114944,5004908
SC_END,1461,1461,45,60,37680562374643,37680842071147,279696
SC_END,37993,37993,0,18,37680340894768,37680843233178,502338
SC_END,1973,1907,202,10,37679860270248,37680860363139,1000092
SC_END,37986,37986,0,93,37680338848216,37680887910603,549062
SC_END,37980,37980,61,92,37680329454950,37680889196981,559742
SC_END,37979,37979,61,61,37680321988195,37680920178425,598190
SC_END,37977,37977,61,1232,37680321100335,37680920338164,599237
SC_END,1,1,232,410,37680319453269,37680920507164,601053
SC_END,1371,1371,232,226,37680320569002,37680920608329,600039
SC_END,12110,12110,0,0,37675543105716,37680921419768,5378314
SC_END,1250,1250,270,30,37680304327781,37680923561195,619233
SC_END,1957,1907,202,10,37679957655655,37680957789976,1000134
SC_END,1370,1370,232,461,37680320907277,37680973499103,652591
SC_END,1982,1907,230,15,37679987239602,37680987359004,1000119
SC_END,2002,1907,232,5,37680001056810,37681002156105,1001099
SC_END,1962,1907,202,10,37680120040345,37681120379652,1000339
SC_END,1974,1907,202,10,37680245111411,37681245512279,1000400
SC_END,502,491,230,21,37680431276263,37681431329433,1000053
SC_END,491,491,202,10,37680431280496,37681431460994,1000180
SC_END,2394,2394,281,69,37680548550383,37681549807995,1001257
SC_END,37976,37976,0,13204,37681601588047,37681601592820,4
SC_END,1967,1907,202,1166,37681595218993,37681605273917,10054
SC_END,38033,38033,271,570,37681586179606,37681607898116,21718
SC_END,38034,38034,270,1270,37681585661796,37681674247217,88585
SC_END,1908,1844,281,45,37681561273665,37681675538074,114264
SC_END,1880,1844,202,120,37681571491194,37681675686232,104195
SC_END,1909,1844,202,291,37681561354804,37681676931430,115576
SC_END,1992,1907,202,122,37681577584931,37681677761850,100176
SC_END,1966,1907,202,122,37681577575928,37681677762133,100186
SC_END,1964,1907,202,122,37681577574004,37681677763193,100189
SC_END,1965,1907,202,122,37681577573880,37681677763834,100189
SC_END,1963,1907,202,122,37681577572484,37681677768875,100196
SC_END,6328,6325,7,3,37679745111837,37681747368425,2002256
SC_END,1956,1907,333,12,37681301421037,37681801666729,500245
SC_END,1951,1907,333,12,37681301421025,37681801667495,500246
SC_END,1952,1907,333,12,37681301358420,37681801670122,500311
SC_END,1949,1907,333,12,37681301407236,37681801670162,500262
SC_END,1953,1907,333,12,37681301358298,37681801671129,500312
SC_END,1950,1907,333,12,37681301358309,37681801672006,500313
SC_END,1954,1907,333,12,37681301469871,37681801698968,500229
SC_END,1955,1907,333,12,37681301358314,37681801749889,500391
SC_END,1948,1907,333,12,37681301627433,37681801768507,500141
SC_END,1973,1907,202,12,37680860377467,37681860584309,1000206
SC_END,1957,1907,202,12,37680957818131,37681958215225,1000397
SC_END,1982,1907,230,18,37680987459183,37681987765314,1000306
SC_END,2002,1907,232,6,37681002190280,37682003166386,1000976
SC_END,1962,1907,202,12,37681120403158,37682120698446,1000295
SC_END,1984,1907,202,2,37677127970336,37682128362358,5000392
SC_END,1898,1844,202,31,37678289186672,37682202286768,3913100
SC_END,1974,1907,202,12,37681245567968,37682245761791,1000193
SC_END,1907,1907,0,0,37675543105716,37682315158302,6772052
SC_END,17070,1907,0,0,37675543105716,37682315209864,6772104
SC_END,17072,1907,0,0,37675543105716,37682315229676,6772123
SC_END,17069,1907,0,0,37675543105716,37682315269227,6772163
SC_END,17074,1907,0,0,37675543105716,37682315283838,6772178
SC_END,17073,1907,0,0,37675543105716,37682315295275,6772189
SC_END,17068,1907,0,0,37675543105716,37682315302872,6772197
SC_END,17071,1907,0,0,37675543105716,37682315314383,6772208
SC_END,17075,1907,0,0,37675543105716,37682315424187,6772318
SC_END,1994,1907,0,0,37675543105716,37682380102944,6836997
SC_END,1996,1907,0,0,37675543105716,37682380117623,6837011
SC_END,1993,1907,0,0,37675543105716,37682380428873,6837323
SC_END,1995,1907,0,0,37675543105716,37682380687754,6837582
SC_END,502,491,230,25,37681431414595,37682431432189,1000017
SC_END,491,491,202,12,37681431488480,37682431448852,999960
SC_END,3060,3060,0,0,37675543105716,37682513167020,6970061
SC_END,2275,2275,0,0,37675543105716,37682513273621,6970167
SC_END,2280,2280,0,0,37675543105716,37682513352414,6970246
SC_END,2282,2282,0,0,37675543105716,37682513411764,6970306
SC_END,2281,2281,0,0,37675543105716,37682519980983,6976875
SC_END,2319,2319,0,0,37675543105716,37682519994986,6976889
SC_END,2322,2322,0,0,37675543105716,37682519998076,6976892
SC_END,1461,1461,45,205,37681273865322,37682522569315,1248703
SC_END,2394,2394,281,72,37681549883514,37682550892832,1001009
SC_END,1880,1844,35,143,37682594763986,37682604826507,10062
SC_END,1967,1907,202,1360,37682595947832,37682606009768,10061
SC_END,1963,1907,202,797,37682605215146,37682606283642,1068
SC_END,1965,1907,202,817,37682605373337,37682606428348,1055
SC_END,1966,1907,202,1207,37682605389995,37682606444686,1054
SC_END,1964,1907,74,444,37682605203024,37682606985537,1782
SC_END,37976,37976,0,15128,37682607957108,37682607961627,4
SC_END,17075,1907,202,2395,37682607430735,37682608512843,1082
SC_END,17068,1907,75,2493,37682605299355,37682608711348,3411
SC_END,17072,1907,202,2497,37682603588923,37682608753614,5164
SC_END,17074,1907,202,2281,37682603589299,37682608758005,5168
SC_END,17071,1907,202,2393,37682603606273,37682608758392,5152
SC_END,17069,1907,202,2613,37682604769054,37682608758526,3989
SC_END,17073,1907,202,2519,37682604771468,37682608759080,3987
SC_END,38054,38048,45,942,37682600472169,37682608794818,8322
SC_END,38055,38048,45,981,37682600533923,37682608813884,8279
SC_END,17070,1907,202,2518,37682606307348,37682608825904,2518
SC_END,38057,38048,45,1027,37682600286401,37682608840909,8554
SC_END,38050,38048,45,1024,37682600448553,37682608840919,8392
SC_END,1461,1461,230,214,37682584846680,37682609908766,25062
SC_END,38056,38048,45,984,37682601289890,37682610701093,9411
SC_END,38052,38048,45,1192,37682604740509,37682610704510,5964
SC_END,38053,38048,45,1029,37682604742619,37682610707902,5965
SC_END,1993,1907,202,1289,37682601139144,37682611197439,10058
SC_END,1994,1907,202,162,37682601134945,37682611254724,10119
SC_END,1996,1907,202,154,37682601136793,37682611260255,10123
SC_END,1995,1907,202,145,37682601138086,37682611269515,10131
SC_END,38033,38033,271,1016,37682592307149,37682611586888,19279
SC_END,38051,38048,45,1208,37682606281976,37682612422712,6140
SC_END,1992,1907,202,154,37682580252534,37682680308292,100055
SC_END,1898,1844,281,48,37682595625970,37682709750145,114124
SC_END,1909,1844,202,327,37682595630184,37682710841176,115210
SC_END,1950,1907,333,14,37682301903647,37682801973530,500069
SC_END,1952,1907,333,14,37682301906835,37682801982305,500075
SC_END,1949,1907,333,14,37682301915341,37682801984859,500069
SC_END,1956,1907,333,14,37682301903662,37682801985007,500081
SC_END,1951,1907,333,14,37682301876369,37682801986966,500110
SC_END,1954,1907,333,14,37682301935487,37682802011452,500075
SC_END,1948,1907,333,14,37682301993378,37682802027901,500034
SC_END,1953,1907,333,14,37682301911402,37682802047950,500136
SC_END,1955,1907,333,14,37682301996200,37682802098316,500102
SC_END,1957,1907,202,14,37681958281003,37682958315071,1000034
SC_END,1982,1907,230,21,37681987892316,37682988096093,1000203
SC_END,2002,1907,232,7,37682003202984,37683004082716,1000879
SC_END,1962,1907,202,14,37682120750711,37683121134895,1000384
SC_END,1974,1907,202,14,37682245814417,37683245885660,1000071
SC_END,502,491,230,31,37682431459594,37683431478732,1000019
SC_END,491,491,202,17,37682431459116,37683431503816,1000044
SC_END,2394,2394,281,96,37682551171558,37683552019530,1000847
SC_END,1973,1907,202,16,37682555433901,37683555492698,1000058
SC_END,1488,1372,7,20,37679583099892,37683587024763,4003924
SC_END,1964,1907,74,1495,37683615070309,37683616846316,1776
SC_END,1963,1907,202,3127,37683616147646,37683616863049,715
SC_END,1965,1907,202,3118,37683616588895,37683617649548,1060
SC_END,1966,1907,202,4981,37683616606413,37683617696947,1090
SC_END,17068,1907,75,9660,37683620763275,37683623050046,2286
SC_END,17071,1907,202,9437,37683623042329,37683624158270,1115
SC_END,37976,37976,0,17171,37683624827545,37683624838976,11
SC_END,17070,1907,75,9941,37683623080134,37683624929368,1849
SC_END,38051,38048,45,4065,37683625540431,37683625698839,158
SC_END,38050,38048,45,3787,37683624869065,37683625719546,850
SC_END,38052,38048,45,4028,37683624916223,37683625741921,825
SC_END,38053,38048,45,3791,37683625027545,37683625811198,783
SC_END,1993,1907,202,7274,37683615545837,37683625835437,10289
SC_END,38056,38048,45,3708,37683625773852,37683626111099,337
SC_END,1994,1907,202,878,37683615557880,37683626149827,10591
SC_END,1967,1907,202,1562,37683615796345,37683626188307,10391
SC_END,1995,1907,202,758,37683615453593,37683626192484,10738
SC_END,1996,1907,202,800,37683615422631,37683626210518,10787
SC_END,38054,38048,45,3822,37683625268601,37683626269667,1001
SC_END,38057,38048,45,3825,37683625821897,37683626361119,539
SC_END,38033,38033,271,1412,37683605950687,37683627228170,21277
SC_END,38055,38048,45,3712,37683621846751,37683631277442,9430
SC_END,1898,1844,281,71,37683517474630,37683631603435,114128
SC_END,1880,1844,202,160,37683526658151,37683631844192,105186
SC_END,1909,1844,202,372,37683517479775,37683632699574,115219
SC_END,1992,1907,202,216,37683582115686,37683682183773,100068
SC_END,6328,6325,7,4,37681747402945,37683749377004,2001974
SC_END,1951,1907,333,16,37683302039048,37683802107710,500068
SC_END,1950,1907,333,16,37683302045682,37683802116950,500071
SC_END,1952,1907,333,16,37683302044203,37683802121035,500076
SC_END,1949,1907,333,16,37683302067519,37683802139518,500071
SC_END,1948,1907,333,16,37683302110712,37683802176848,500066
SC_END,1957,1907,202,386,37683087633637,37683958383313,870749
SC_END,1953,1907,333,98,37683588962028,37683976556066,387594
SC_END,1955,1907,333,100,37683588672570,37683976559997,387887
SC_END,1956,1907,333,101,37683588875428,37683976560093,387684
SC_END,1954,1907,333,101,37683588754289,37683976560778,387806
SC_END,1982,1907,230,25,37682988183213,37683988251848,1000068
SC_END,6326,6325,7,10,37680005292669,37684004025126,3998732
SC_END,2002,1907,232,8,37683004115615,37684005055851,1000940
SC_END,1962,1907,202,16,37683121164405,37684121230007,1000065
SC_END,1973,1907,202,18,37683555503164,37684186851314,631348
SC_END,1974,1907,202,16,37683245905294,37684245972914,1000067
SC_END,502,491,230,35,37683431509715,37684431529707,1000019
SC_END,491,491,202,19,37683431513449,37684431554573,1000041
SC_END,2394,2394,281,99,37683552045753,37684553027496,1000981
SC_END,1963,1907,202,5468,37684640620036,37684641342779,722
SC_END,1965,1907,202,5417,37684640897568,37684642037845,1140
SC_END,1964,1907,202,2521,37684641324966,37684642450165,1125
SC_END,1966,1907,202,8711,37684640672194,37684642784427,2112
SC_END,1967,1907,202,1764,37684636146017,37684646278053,10132
SC_END,17070,1907,75,16754,37684649505265,37684651680749,2175
SC_END,17074,1907,202,16630,37684650648118,37684651739477,1091
SC_END,17072,1907,202,16233,37684646785564,37684651777467,4991
SC_END,17069,1907,202,16804,37684646965459,37684651791505,4826
SC_END,17071,1907,202,16141,37684646899825,37684651795859,4896
SC_END,17075,1907,202,16052,37684647097779,37684651827535,4729
SC_END,17068,1907,202,16305,37684648555795,37684651893189,3337
SC_END,37976,37976,0,19218,37684653165093,37684653180733,15
SC_END,1993,1907,202,13580,37684643359459,37684653447165,10087
SC_END,1995,1907,202,1298,37684643324999,37684653610319,10285
SC_END,1994,1907,202,1558,37684643350883,37684653614743,10263
SC_END,1996,1907,202,1432,37684643326636,37684653614911,10288
SC_END,38051,38048,45,6679,37684653813362,37684654116158,302
SC_END,38053,38048,45,6399,37684652663913,37684654580446,1916
SC_END,38052,38048,45,6646,37684646820039,37684655137051,8317
SC_END,38054,38048,45,6402,37684645580548,37684655137243,9556
SC_END,38050,38048,45,6325,37684646650006,37684655178291,8528
SC_END,38056,38048,45,6242,37684646927193,37684655295687,8368
SC_END,38055,38048,45,6240,37684646788821,37684655471561,8682
SC_END,38057,38048,45,6369,37684648423380,37684655531761,7108
SC_END,1898,1844,281,134,37684554056340,37684668186403,114130
SC_END,1880,1844,202,180,37684563276137,37684668481288,105205
SC_END,1909,1844,202,388,37684554061524,37684669368677,115307
SC_END,1992,1907,202,273,37684583361729,37684683425947,100064
SC_END,1950,1907,333,18,37684302197815,37684802267857,500070
SC_END,1951,1907,333,18,37684302194578,37684802270064,500075
SC_END,1952,1907,333,18,37684302204057,37684802273869,500069
SC_END,1949,1907,333,18,37684302220094,37684802275781,500055
SC_END,1948,1907,333,18,37684302254980,37684802317038,500062
SC_END,1957,1907,202,820,37684113321963,37684958459865,845137
SC_END,1955,1907,333,201,37684614964193,37684973501281,358537
SC_END,1954,1907,333,196,37684614749140,37684973507931,358758
SC_END,1956,1907,333,202,37684612216651,37684973515753,361299
SC_END,1953,1907,333,195,37684613613106,37684973579088,359965
SC_END,1982,1907,230,29,37683988297477,37684988367923,1000070
SC_END,2002,1907,232,9,37684005070843,37685006057502,1000986
SC_END,1962,1907,202,18,37684121243361,37685121312326,1000068
SC_END,1975,1907,0,0,37675543105716,37685124269760,9581164
SC_END,1973,1907,202,20,37684186871048,37685187233357,1000362
SC_END,1974,1907,202,18,37684245988410,37685246107140,1000118
SC_END,502,491,230,42,37684431573571,37685431592203,1000018
SC_END,491,491,202,23,37684431587380,37685431618637,1000031
SC_END,2394,2394,281,120,37684553348796,37685554074494,1000725
SC_END,1963,1907,202,7680,37685663642554,37685664709137,1066
SC_END,1966,1907,202,12344,37685663924867,37685664986696,1061
SC_END,1965,1907,202,7605,37685664016382,37685665058272,1041
SC_END,1964,1907,74,3503,37685663236313,37685665466413,2230
SC_END,1994,1907,202,2283,37685666368572,37685666437518,68
SC_END,1967,1907,202,1969,37685662046511,37685672593910,10547
SC_END,17074,1907,45,22379,37685672633415,37685672642735,9
SC_END,37976,37976,0,21249,37685673914517,37685673929062,14
SC_END,17072,1907,75,22161,37685671769154,37685674538701,2769
SC_END,38050,38048,45,8689,37685667376004,37685674696914,7320
SC_END,17068,1907,202,22088,37685671883258,37685674889928,3006
SC_END,38051,38048,45,9103,37685674638092,37685675031300,393
SC_END,38054,38048,44,8717,37685675113113,37685675121402,8
SC_END,38053,38048,45,8769,37685674875710,37685675357634,481
SC_END,38056,38048,45,8644,37685675020151,37685675438453,418
SC_END,38055,38048,45,8638,37685675065815,37685675460628,394
SC_END,38052,38048,45,8920,37685672398837,37685676086032,3687
SC_END,1996,1907,202,2089,37685666487058,37685676713290,10226
SC_END,1995,1907,202,1904,37685666459490,37685676725237,10265
SC_END,38057,38048,45,8691,37685668778954,37685677494878,8715
SC_END,1992,1907,202,329,37685584934626,37685685042450,100107
SC_END,1898,1844,281,198,37685591070106,37685705208219,114138
SC_END,1880,1844,202,200,37685600333871,37685705463924,105130
SC_END,1909,1844,202,403,37685591094720,37685706839339,115744
SC_END,6328,6325,7,5,37683749390143,37685751034815,2001644
SC_END,1951,1907,333,20,37685302353592,37685802422583,500068
SC_END,1948,1907,333,20,37685302363925,37685802439564,500075
SC_END,1950,1907,333,20,37685302354043,37685802448321,500094
SC_END,1949,1907,333,20,37685302364439,37685802449802,500085
SC_END,1952,1907,333,20,37685302370336,37685802460859,500090
SC_END,1932,1932,232,2,37680825139075,37685830045456,5004906
SC_END,1957,1907,202,1236,37685108187748,37685958541526,850353
SC_END,1955,1907,333,304,37685609503742,37685974228592,364724
SC_END,1956,1907,333,298,37685608032850,37685974233122,366200
